KU-PA3-NU,KU-PA3-PA3,KA-KU-PA,KU-PA,KU-PA3-RI-JA,KU-PA3-NA-TU,KU-PA-JA
QE-PI-TA,PI-TA-JA,PI-TA-RA,PI-TA-KE-SI,PI-TA-KA-SE
KU-PA3-NU,DU-PA3-NA,KU-PA3-NA-TU,PA3-NI-NA,PA3-NI
QA-*118-RA-RE,MI-RU-TA-RA-RE,PI-TA-RA,TA-RA,SA-RA-RA
KU-PA3-NU,KU-PA3-PA3,DU-PA3-NA,KU-PA3-RI-JA,KU-PA3-NA-TU
KU-PA3-NU,KU-PA3-PA3,KU-PA,KU-PA3-RI-JA,KU-PA3-NA-TU
DI-NA-U,DI-NA-RO,WI-DI-NA,DI-RE-DI-NA
KU-PA3-NU,KU-PA3-PA3,KA-KU-PA,KU-PA
TU-QIf-RI-NA,DI-RI-NA,TA-RI-NA,I-KU-RI-NA
NA-DA-RE,SI-DA-RE,JA-MI-DA-RE,DA-RE
KU-PA3-NU,KU-PA3-NA-TU,PA3-NI-NA,PA3-NI
QE-PI-TA,PI-TA-RA,PI-TA-KE-SI,PI-TA-KA-SE
MI-RU-TA-RA-RE,PI-TA-RA,TA-RA,DA-TA-RA
RU-MA-TA,DA-DU-MA-TA,KA-DU-MA-NE,DU-MA-I-NA
KU-RU-MA,RU-MA-TA,RI-RU-MA,SI-RU-MA-RI-TA2
KU-PA3-NU,KU-PA3-PA3,KU-PA3-RI-JA,KU-PA3-NA-TU
MI-DA-NI,SI-DA-RE,JA-MI-DA-RE,KI-DA-RO
SA-RA2,A-SA-RA2,PA-SA-RI-JA,KA-SA-RU
KI-DA-TA,DA-TA-RE,TI-DA-TA,DA-TA-RA
SA-RA2,SA-RA-RA,A-SA-RA2
KI-DA-TA,DA-TA-RE,TI-DA-TA
KI-DA-TA,QA-TI-DA-TE,TI-DA-TA
SI-KI-RA,KI-KI-RA-JA,KI-RA
TI-NI-TA,TA-RI-NA,A-RI-NI-TA
KU-PA3-NU,KU-PA3-PA3,KU-PA3-RI-JA
DI-NA-U,WI-DI-NA,DI-RE-DI-NA
PA-JA-RE,JA-RE-MI,TE-JA-RE
PA-JA,PA-JA-RE,KU-PA-JA
RU-ZU-NA,KA-U-ZU-NI,KU-ZU-NI
NA-DA-RE,SI-DA-RE,JA-MI-DA-RE
MA-KA-RI-TE ,SI-RU-MA-RI-TA2,KA-RI-*310-I
MA-*321,KI-DE-MA-*323-NA,SA-*323-MI
SA-RU,PA-SA-RI-JA,KA-SA-RU
TU-QIf-RI-NA,TA-RI-NA,I-KU-RI-NA
DA-KU-SE-NE,DA-KU-NA,DA-KU-SE-NE-TI
RE-DI-SE,WI-DI-NA,DI-RE-DI-NA
KI-RE-TA-NA,TA-NA-TI,KI-RE-TA2
QE-PI-TA,PI-TA-RA,PI-TA-KE-SI
A-PA-RA-NE,PA-RA-NE,PA-RA
A-PA-RA-NE,PA-RA-NE,A-RA-NA-RE
QE-PI-TA,PI-TA-RA,TA-RA
KU-PA3-NU,PA3-NI-NA,PA3-NI
KI-RI-TA2,SI-RU-MA-RI-TA2,RI-TA-MA-NU-WI
KI-RE-TA-NA,KI-RE-TA2
PA-JA-RE,TE-JA-RE
TU-QIf-RI-NA,U-NU-QIf
QE-RA2-U,DA-QE-RA
QE-SU-PU,TU-SU-PU2
KA-RI-*310-I,KI-*310-RE
QE-TU-NE,QIf-TU-NE
TA-NA-TI,NA-TI
KA-RI-*310-I,QA-*310-I
KU-PA3-PA3,KU-PA3-RI-JA
KA-PA,KA-PA-QE
KU-RE-JU,QE-KU-RE
KU-DA,KU-KU-DA-RA
SI-KI-RA,SI-KI-NE
U-MI-NA-SI,DA-NA-SI
KU-NI-SU,I-TI-TI-KU-NI
QA-TI-DA-TE,TI-DA-TA
MA-RE,WA-TU-MA-RE
MI-KI-SE-NA,DI-KI-SE
PU-RA2,RU-RA2
MI-RU-TA-RA-RE,U-TA-RO
PA-JA,PA-JA-RE
QA-*118-RA-RE,I-QA-*118
TU-QIf-RI-NA,TA-RI-NA
RI-RU-MA,SI-RU-MA-RI-TA2
TU-MA,WA-TU-MA-RE
*312-TA,*312-TE-TE
DA-KU-SE-NE,DA-KU-SE-NE-TI
TI-DU-NI,WA-DU-NI-MI
DA-QE-RA,SA-QE-RI
SI-RU-MA-RI-TA2,SI-RU
KI-DA-TA,KI-DA-RO
DA-NE-KU-TI,SE-KU-TU
I-DU-NE-SI,TI-DU-NI
RU-ZU-NA,KU-ZU-NI
KI-RI-TA2,SI-RU-MA-RI-TA2
NU-WI ,RI-TA-MA-NU-WI
PA-RA-NE,A-RA-NA-RE
SI-RU-MA-RI-TA2,RI-TA-MA-NU-WI
DA-RU-NE-TE,DA-RU-*329
PA3-NI-NA,PA3-NI
NA-DA-RE,SI-DA-RE
I-TA-JA,PI-TA-JA
WI-DI-NA,KI-DI-NI
MA-KA-RI-TE ,A-KA-RU
PA-RA-NE,PA-RA
A-KA-RU,KA-RU
TU-SU-PU2,SU-PU2-*188
U-MI-NA-SI,NA-QIf-NE-MI-NA
MI-NU-TE,DA-MI-NU
TI-NI-TA,A-RI-NI-TA
SA-MA,SA-MA-RO
SA-RA2,QA-RA2-WA
SA-RA2,SA-RA-RA
*47-NU-RA-JA,KI-KI-RA-JA
KA-U-ZU-NI,KU-ZU-NI
I-TI-TI-KU-NI,TI-TI-KU
SI-KI-RA,KI-RA
RU-MA-TA,SI-RU-MA-RI-TA2
KU-RU-MA,KU-RU-KU
PA3-KA-RA-TI,RA-TI-SE
KU-PA3-RI-JA,PA-SA-RI-JA
JA-QIf,NA-QIf-NE-MI-NA
*306-TU-JA,*306-TU
QE-TI,QE-TI-RA-DU
KU-KU-DA-RA,A-RU-DA-RA
TU-QIf-RI-NA,QIf-RI-TU-QA
KA-KU-PA,KA-KU
SI-DA-RE,KI-DA-RO
KI-DA-TA,TI-DA-TA
KU-RO,PO-TO-KU-RO
SI-RU-MA-RI-TA2,WA-TU-MA-RE
DA-RO-PA,KI-DA-RO
KU-RE-JU,SA-RE-JU
KA-DU-MA-NE,DU-MA-I-NA,
