4
"KU-PA3-NU,KU-PA3-PA3,KU-PA3-RI-JA,KU-PA3-NA-TU"
"RU-MA-TA,DA-DU-MA-TA,KA-DU-MA-NE"
"KU-PA3-NU,DU-PA3-NA,KU-PA3-NA-TU"
"KU-PA3-NU,KU-PA3-PA3,KU-PA3-RI-JA"
"DA-TA-RE,DA-TA-RA"
"KI-RE-TA-NA,KI-RE-TA2"
"MI-KI-SE-NA,DI-KI-SE"
"KA-U-ZU-NI,KU-ZU-NI"
"DU-PA3-NA,KU-PA3-NA-TU"
"KU-PA3-NU,KU-PA3-NA-TU"
"I-TI-TI-KU-NI,TI-TI-KU"
"PA3-NI-NA,PA3-NI"
"KU-PA3-PA3,KU-PA3-RI-JA"
"QA-*118-RA-RE,I-QA-*118"
"I-TA-JA,PI-TA-JA"
"*306-TU-JA,*306-TU"
"SA-RA2,A-SA-RA2"
"RI-RU-MA,SI-RU-MA-RI-TA2"
"PI-TA-KE-SI,PI-TA-KA-SE"
"SI-DA-RE,JA-MI-DA-RE"
"DA-KU-SE-NE,DA-KU-SE-NE-TI"
"KU-KU-DA-RA,A-RU-DA-RA"
"SI-KI-RA,KI-KI-RA-JA"
"TU-QIf-RI-NA,QIf-RI-TU-QA"
"A-PA-RA-NE,PA-RA-NE"
"KI-DA-TA,TI-DA-TA"
"TU-SU-PU2,SU-PU2-*188"
"TI-NI-TA,A-RI-NI-TA"
"KI-RI-TA2,SI-RU-MA-RI-TA2"
"QA-TI-DA-TE,TI-DA-TA"
