a-pi-qo-to,a-pi-qo-ta,a-pi-qo-ro-i,a-pi-qo-ta-o,a-pi-qo-i-ta
e-qe-ta2 e-qe-ta-e,e-qe-ta-i,e-qe-ta-qe
di-wi-ja-wo,di-wi-je-ja,di-wi-ja,di-wi-jo
pa-ra-we,pa-ra-we-wo,pa-ra-wo
e-pi-ko-o,e-pi-ko-e,e-pi-ko
ku-pa-ro2,ku-pa-ro-we,ku-pa-ro
a-ke-re-se,a-ke-re,a-ke-re-we
a-ke-ti-ri-ja-i,a-ke-ti-ri-ja,a-ze-ti-ri-ja
e-ti-wa-jo,e-ti-wa-ja-qe,e-ti-wa-ja
ka-e-sa-me-no,ka-e-sa-me-no-jo,ke-sa-me-no
wi-do-wo-i-jo,wi-dwo-i-jo,wi-du-wo-i-jo
ta-ra-ma-ta,ta-ra-ma-o,ta-ra-ma-ta-o
ka-ra-ma-to,ka-ma-to,ka-sa-ma-to
pe-ri-te,pe-ri-ta,pe-ri-to
a-ke-ti-ra2-o,a-ke-ti-ra2,a-pe-ti-ra2
pe-ri-te-u,pe-ri-te,pe-ri-to
ka-ta-ra-i,ka-ta-ro,ka-ta-ra
ka-ra-u-du-ro,ka-ra-u-do-ro,ka-ra-u-ro
a-ma-ko-to,a-ko-to-no,a-ko-to
o-pe-ra-no-re,o-pe-ra-no-ro,o-pe-ra-no
a-mo-ta,a-na-mo-ta,a-mo-ta-jo
a-we-ke-se-u,a-we-ke-we-se,a-we-ke-se-we
o-*34-ta-qe,o-*34-ta,o-*34-ta-o
po-ki-ro-nu-ko,po-ki-ro-nu-ka,po-ko-ro-nu-ka
ti-nwa-si-ja,ti-nwa-ti-ja-o,ti-nwa-si-jo
a-pa-ta-wa-ja,a-pa-ta-wa-jo,a-pa-ta-wa
a-pi-qo-to,a-pi-qo-ta,a-pi-qo-ta-o
e-ra-te-re-we,e-ra-te-re-wa-pi,e-ra-te-re-wa-o
da-*83-jo,da-*83-ja,da-*83-ja-de
po-ro-u-te-u,po-ro-u-te-we,po-ro-u-te-wo
po-ru-te-we,po-ro-u-te-we,po-ro-u-te-wo
e-ke-ra2-wo-ne,e-ke-ra2-wo,e-ke-ra2-wo-no
a-di-ri-ja-pi,a-di-ri-jo,a-di-ri-ja-pi-qe
e-ta-wo-ne-u,e-ta-wo-ne-we,e-ta-wo-ne-wo
po-ni-ke-a,po-ni-ke-ja,po-ni-ke-qe
ko-to-na2 ko-to-na-o,ko-to-no
pe-ri-qo-ta-o,pe-ri-qo-te-jo,pe-ri-qo-ta
a-ti-ja,a-sa-ti-ja,a-si-ja-ti-ja
te-mi-dwe-te,te-mi-dwe-ta,te-mi-dwe
a-ra-ro-mo-te-me-na,a-ro-mo-te-me-na,a-ra-ro-mo-te-me-no
we-da-ne-we,we-u-da-ne-we,we-da-ne-wo
e-qe-ta-e,e-qe-ta-i,e-qe-ta-qe
a-ke-re-we,a-ke-re-wa-de,a-ke-re-wa
po-ro-ko,po-ro-ko-wa,po-ro-ko-wo
mi-ja-ro,mi-ja-ra-ro
ka-pa-ri-jo-ne,ka-pa-ri-jo
ke-re-te-u,ke-re-te
a-ka-to-wa-o,a-ka-to-wa
ke-re-na,ke-re-no
qo-u-ko-ro-jo,qo-u-ko-ro
a-mu-ta-wo,a-mu-ta-wo-no
a-ko-ro-qo-ro,a-ko-ro
wo-no-qe-we,wo-no-qe-wa
o-u-di-do-si,o-di-do-si
wa-na-se-wi-ja,wa-na-se-wi-jo
a-ra-ka-te-ja-o,a-ra-te-ja-o
a-ro-mo-te-me-na,a-ra-ro-mo-te-me-no
sa-nu-we,sa-nu-we-ta
a-no-qo-ta,a-no-qo-ta-o
e-ti-ra-wo,e-ti-ra-wo-jo
a-pi-me-de,a-pi-me-de-o
a-ra-ka-te-ja-o,a-ra-ka-te-ja
a-ka-ta-jo,a-ka-ta-jo-jo
ko-to-no-o-ko,ko-to-no-o-ko-de
a-ja-me-na,a-ja-me-no
a-na-mo-ta,a-na-mo-to
te-ra-po-ti,te-ra-pe-te
ka-e-sa-me-no,ka-e-sa-me-no-jo
te-ra-wo,te-ra-wo-ne
tu-wi-no,tu-wi-no-no
o-da-ku-we-ta,o-da-tu-we-ta
a-ta-ra,a-ta-ra-qe
e-ro-pa-ke-ja,e-ro-pa-ke-u
ri-ne-ja,ri-ne-ja-o
mo-ri-wo-do,mo-ri-wo
tu-ra-te-u,tu-ra-te-u-si
tu-ri-ja-ti,tu-ri-ja-i
sa-ke-re-we,sa-ke-re-wo
ra-pi-ti-ra2,ra-qi-ti-ra2
o-u-ki-te-mi,o-u-ki-te-mi+tbd
ti-ri-ti-ja,ti-ri-ti-jo
te-tu-ko-wo-a,te-tu-ko-wo-a2
e-pi-ja-ta-ni-ja,e-pi-ja-ta
e-do-mo-ne-we,e-do-mo-ne-u
ku-ru-sa-pi-qe,ku-ru-sa-pi
ra-qi-ti-ra2-o,ra-qi-ti-ra2
a-pi-qo-ro,a-pi-qo-ro-i
e-to-wo-ko-i,e-to-wo-ko
a-*64-ja,a-*64-ja-o
me-sa-ta,me-sa-to
ke-ke-me-n5 ke-me-na
ku-wa-no,ku-wa-no-qe
we-da-ne-we,we-da-ne-wo
ke-ro-te,ke-ro-ta
e-re-ta-o,e-re-ta
e-u-wa-ko-ro,e-wa-ko-ro
a-we-ke-we-se,a-we-ke-se-we
e-pe-ke,e-pe-ke-u
i-pe-me-de-ja,i-pe-me-de-ja-qe
ki-ma-ra,ki-ma-ra-o
po-se-da-o3 po-se-da-o-ne
te-qi-ri-jo-ne,te-qi-jo-ne
a-ke-wa-to,a-ke-wa-ta
ka-ra-u-du-ro,ka-ra-u-ro
e-re-e-wo,e-re-e-we
to-ro-qo,to-ro-qa
ka-*56-no,ka-*56-na-to
te-pe-ja,te-pe-ja-o
ra-wo-qo-no-jo,ra-wo-qo-no
e-wi-te-we,e-wi-te-u
pe-ri-to-wo,pe-ri-to
ze-u-ke-si,ze-u-ke-u-si
po-ro-e-ke,po-ro-e-ko-to
a2-ka-a2-ki-ri-ja-jo,a2-ka-a2-ki-ri-jo
ke-ki-de,ke-ki-de-qe
ki-ni-di-ja,ki-ni-di-ja-o
a-i-qe-we,a-i-qe-wo
ko-to-no-o-ko,ko-to-no
ku-wa-no-qe,ku-wa-ni-jo-qe
pa-pa-ra-ko,pa-ra-ko
we-ka-ta-e,we-ka-ta
a-si-wi-ja,a-si-wi-jo
re-wo-te-jo,re-wo-te-re-jo
we-te-re-u-qe,we-te-re-u
mi-ka-ri-jo-jo,mi-ka-ri-jo
ra-mi-ni-ja,ra-mi-ni-jo
ra-wi-ja-ja-o,ra-wi-ja-ja
pi-ke-re-wo,pi-ke-re-we
e-ra-to,e-ra-to-de
da-*22-ti-ja,da-*22-ti-jo
mi-ra-ti-ja-o,mi-ra-ti-ja
wi-dwo-i-jo,wi-du-wo-i-jo
te-re-ja,te-re-ja-e
pe-ne-we-te,pe-ne-we-ta
se-re-mo-ka-ra-a-pi,se-re-mo-ka-ra-o-re
qe-te-a2,qe-te-a
pi-ri-te,pi-ri-ta
wo-no-qo-so-qe,wo-no-qo-so
pe-re-po-re-na-qe,po-re-na-qe
a3-ki-pa-ta2 a-ki-pa-ta
ko-ro-ki-ja-o,ko-ro-ki-ja
ra-su-to-qe,ra-su-to
mi-ru-ro,mi-ru-ra
a-pi-te-wa,a-pi-te-ja
to-ko-so-ta,to-ko-so-wo-ko
o-pi-ke-ri-jo,o-pi-ke-ri-jo-de
ki-ri-te-wi-ja,ki-ri-te-wi-ja-i
pu-ra-ta-o,pu-ra-ta
du-wo-jo,du-wo-jo-jo
pa-ko-we,pa-ko-wa
qe-ra-si-jo,qe-ra-si-ja
to-pe-zo,to-pe-za
ma-ri-ne-we-ja-i,ma-ri-ne-we
a-ke-ti-ri-ja-i,a-ke-ti-ri-ja
ra-pa-sa-ko,ra-pa-sa-ko-jo
e-ko-so-no,e-ko-so
ne-we-wi-ja,ne-we-wi-ja-o
a-ke-ti-ra2-o,a-ke-ti-ra2
e-pi-ko-o,e-pi-ko-e
a-po-re-we,a-pi-po-re-we
mi-ja-ra-o,mi-ja-ra-ro
de-de-me-na,de-de-me-no
po-so-ri-jo-no,po-so-ri-jo
de-mi-ni-jo,de-mi-ni-ja
pe-re-po-re-na-qe,pe-re-po-ra-na-qe
