da-mi-ni-jo,ra-mi-ni-ja,de-mi-ni-ja,da-mi-ni-ja
te-te-re-u,qe-te-re-u, we-te-re-u
da-mi-ni-jo,ra-mi-ni-jo,de-mi-ni-jo
ma-ra-si-jo,a-ra-si-jo,qa-ra-si-jo
pe-ne-we-te,pe-ne-we-ta
ka-ra-*56-so,ki-ra-*56-so
ra-wa-ra-ta,ra-wa-ra-ta2
tu-ka-te-qe,tu-ka-te-re
a2-ra-tu-a,a2-ra-tu-wa
ne-ti-ja-no,me-ti-ja-no
a3-ka-na-jo,a-ka-na-jo
ko-no-si-jo,ko-no-si-ja
ra-wo-ti-jo,a-wo-ti-jo
po-ki-ro-nu-ka
po-ko-ro-nu-ka
ma-ra-si-jo,qa-ra-si-jo
a-ke-re-we,a-ke-re-wa
a-ra-ro-mo-te-me-na,a-ra-ro-mo-te-me-no
a3-ki-pa-ta,a-ki-pa-ta
a3-ke-wa-to,a-ke-wa-to
