da-mi-ni-jo,ra-mi-ni-ja,ra-mi-ni-jo,de-mi-ni-ja,da-mi-ni-ja
po-mi-ni-jo,ra-mi-ni-ja,ra-mi-ni-jo,da-mi-ni-jo,de-mi-ni-jo
ta-ra-si-ja,qe-ra-si-jo,ma-ra-si-jo,a-ra-si-jo,qa-ra-si-jo
ke-re-wa,sa-ke-re-we,a-ke-re-we,a-ke-re-wa,sa-ke-re-wo
sa-ke-re-we,a-ke-re-we,pi-ke-re-we,sa-ke-re-wo
ta-ra-si-ja,qe-ra-si-jo,ma-ra-si-jo,qa-ra-si-jo
a-ta-no-ro,a-ta-no-re,me-ta-no-re,qa-ta-no-ro
ra-wa-si-jo,u-wa-si-jo,wa-si-jo,o-wa-si-jo
ra-wa-si-jo,ma-wa-si-jo,uwa-si-jo,o-wa-si-jo
po-mi-ni-jo,ra-mi-ni-jo,de-mi-ni-jo
sa-ke-re-we,sa-ke-re-wo,sa-ke-re-u
e-po-me-ne-we,o-ko-me-ne-u,e-po-me-ne-u
mi-ra-ti-ja-o,mi-ra-ti-ra,mi-ra-ti-ja
di-wi-je-ja,di-wi-je-u,di-wi-je-we
to-ko-so-ta,a-ko-so-ta,a-ko-so-ta-o
ra-wo-ti-jo,a-wo-ti-jo,wo-ti-jo
pe-re-qo-no-jo,pe-re-qo-te-jo,pe-re-qo-ni-jo
ra-mi-ni-ja,de-mi-ni-jo,de-mi-ni-ja
e-ne-ke-se-u,a-we-ke-se-u,a-re-ke-se-u
tu-ri-si-jo,ka-ri-si-jo,ko-ri-si-jo
