ko-no-so,ko-no-si-ja,ko-no-si-jo,ko-no-so-de
pa-i-to,pa-i-ti-ja,pa-i-ti-jo
walk, walked, walking
talk, talked, talking
tener, tengo, tiene, tienes
wi-jo-qo-ta, wi-jo-qo-ta-o
pe-ri-qo-ta, pe-ri-qo-te-jo, pe-ri-qo-ta-o
me-ta-pa, me-ta-pa-de, me-ta-pi-jo
ra-wo-qo-no, ra-wo-qo-ta
pe-qo-ta, pe-qo-no
pe-re-qo-ta, pe-re-qo-no, pe-re-qo-no-jo, qe-re-qo-ta-o
a-no-qo-ta, a-no-qo-ta-o
pe-ri-qo-ta, pe-ri-me-de
a-no-qo-ta, a-no-me-de
hablar, hablo, hablas, habla, hablan
escuchar, escucho, escucha, escuchas, escuchan
говоритъ, говорю, говорите, говорим, говорит, говорила
слушатъ, слушаю, слушает, слушаем, слушаете, слушала
думать, думаю, думает, думаем, думаете, думала
dog, dogs
cat, cats
plural, plurals
number, numbers
proportionate, disproportionate
colored, discolored
